Data Point Used in Publication,Time stamp,Year,Day number,Month,Day of month,Hour,GHI [W/m2],DNI [W/m2],DHI [W/m2],Sun azimuth (deg),Sun zenith (deg),Tracker Angle [deg],Air Mass,Temperature (C),windspeed [m/s],Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, NOC, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]",Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]",Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]",Bifacial energy yield NOCT [Wh],Bifacial energy yield Faiman [Wh],Bifacial energy yield Sandia [Wh],"Average POA rear irradiance, no IAM [W/m2]","Average POA rear irradiance, with IAM [W/m2]","Average POA rear irradiance , no IAM [W/m2]","Average POA rear irradiance , no IAM [W/m2]"
1,896,2020,38,2,7,8.5,9.3,0.2,9.4,55.65133523,86.92865481,25,14.90627721,4.6,0.6,2.44473302,2.444597377,2.444739585,0.954052199,0.901077383,2.557735456,2.557587493,2.557742615,1.109350563,1.033339612,2.445316316,2.44518049,2.445322891,0.954362515,0.901344748,2.559013583,2.55886575,2.559020732,1.110505067,1.034362958,1.199613847,1.167303954
1,897,2020,38,2,7,9.5,30.3,0.2,30.4,42.63667138,80.53126546,25,5.876044537,4.8,1,8.337249482,8.3365314,8.338063618,3.067438151,2.897920608,8.70185965,8.701080417,8.702743643,3.550440205,3.308986635,8.343818736,8.343099769,8.344634204,3.071859666,2.902137671,8.706609506,8.705829359,8.707494957,3.557122206,3.315211049,3.845746599,3.745552467
1,898,2020,38,2,7,10.5,40.9,0.2,41,28.77698476,75.58927437,25,3.960668483,5,1.4,11.34158981,11.34142917,11.34435849,4.135839495,3.907702218,11.81435672,11.81418276,11.81735478,4.786694463,4.462732538,11.35129279,11.35113183,11.35406675,4.1440077,3.915439956,11.82128064,11.82110661,11.82428131,4.797783976,4.473103316,5.186606933,5.051404698
1,899,2020,38,2,7,11.5,52.6,0.3,52.6,14.11677447,72.4868646,25,3.291727906,5.2,1.8,14.71429609,14.71581135,14.72093813,5.29513034,5.003871479,15.31564437,15.31728137,15.32282025,6.114274955,5.70237029,14.72685333,14.72837057,14.73350449,5.306198743,5.014320097,15.3246531,15.32629194,15.33183989,6.128937043,5.716075703,6.630084957,6.458185757
1,900,2020,38,2,7,12.5,51.6,0.3,51.6,-1.023869165,71.51057444,25,3.126827931,5.6,1.9,14.37188712,14.37375808,14.37875759,5.200691505,4.914461361,14.95461627,14.95663895,14.96203723,6.012538961,5.607363268,14.38442083,14.38629522,14.39130423,5.212466912,4.925538823,14.96358451,14.96560828,14.97101834,6.027666029,5.621500785,6.517300455,6.348559286
1,901,2020,38,2,7,13.5,47.1,0.2,47.2,-16.13176678,72.75910762,25,3.340993992,5.9,2.3,13.06411272,13.06704124,13.07149841,4.759381754,4.497175006,13.59721737,13.60038124,13.60519573,5.507107309,5.135347257,13.075672,13.07860509,13.08306883,4.770706076,4.507797187,13.60546809,13.60863766,13.61345814,5.521333751,5.148637301,5.967877313,5.813397186
1,902,2020,38,2,7,14.5,38.1,0.2,38.1,-30.70830214,76.10606202,25,4.10019351,5.9,2,10.46139008,10.46264461,10.46543506,3.845069431,3.632851364,10.89869106,10.90004993,10.9030707,4.454228869,4.152446116,10.4709022,10.47215929,10.47495456,3.854796961,3.6419546,10.90543906,10.9067988,10.90982341,4.466228212,4.163656032,4.825373118,4.70066764
0,903,2020,38,2,7,15.5,19.8,0.2,19.9,-44.46675346,81.24684107,25,6.316892143,5.9,1.8,5.307704053,5.307925929,5.308676902,2.014701724,1.903041596,5.540453757,5.540694856,5.541510377,2.342293092,2.182634276,5.312603816,5.312826121,5.31357838,2.021089574,1.909047505,5.54400297,5.544244459,5.545061813,2.34952741,2.189429289,2.533769678,2.469142482
0,904,2020,38,2,7,16.5,5.7,0.2,5.7,-57.39630898,87.79078858,25,18.37263138,5.9,1.6,1.436311394,1.436319354,1.436381678,0.579164458,0.547000167,1.503440761,1.503449448,1.503517338,0.674298955,0.628157431,1.438822564,1.438830549,1.438893068,0.580410101,0.548161646,1.504317756,1.504326436,1.504394429,0.675868149,0.629616847,0.728999518,0.709850263
0,905,2020,38,2,7,17.5,0,0,0,-69.71279165,95.33684998,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
